Nomi,Genere
Giuseppe,0
Giovanni,0
Antonio,0
Mario,0
Luigi,0
Francesco,0
Angelo,0
Vincenzo,0
Pietro,0
Salvatore,0
Carlo,0
Franco,0
Domenico,0
Bruno,0
Paolo,0
Michele,0
Giorgio,0
Aldo,0
Sergio,0
Luciano,0
Maria,1
Anna,1
Giuseppina,1
Rosa,1
Angela,1
Giovanna,1
Teresa,1
Lucia,1
Carmela,1
Caterina,1
Francesca,1
Anna Maria,1
Antonietta,1
Carla,1
Elena,1
Concetta,1
Rita,1
Margherita,1
Franca,1
Paola,1
Tommaso,0
Gabriella,1
Federico,0
Pietro,0
Rocco,0
Sara,1
Giulio,0
Giulia,1
Michela,1
Daniele,0
Giovanna,1
Roberto,0
Roberta,1
Fabio,0
Andrea,0
Mattia,0
Lorenzo,0
Alessandro,0
Simone,0
Luca,0
Paolo,0
Riccardo,0
Marco,0
Tommaso,0
Giulia,1
Alessia,1
Gaia,1
Sara,1
Chiara,1
Viola,1
Alice,1
Aurora,1
Valentina,1
Ginevra,1
